Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0071
-8,-7,0.006699999999999999
-8,-6,0.0075
-8,-5,0.006999999999999999
-8,-4,0.0065
-8,-3,0.0094
-8,-2,0.0068000000000000005
-8,-1,0.0105
-8,0,0.0072
-8,1,0.009099999999999999
-8,2,0.0094
-8,3,0.009000000000000001
-8,4,0.0081
-8,5,0.011200000000000002
-8,6,0.0074
-8,7,0.008400000000000001
-7,-8,0.0053
-7,-7,0.0048000000000000004
-7,-6,0.004
-7,-5,0.0051
-7,-4,0.0058
-7,-3,0.0058000000000000005
-7,-2,0.0064
-7,-1,0.0062
-7,0,0.0055
-7,1,0.0064
-7,2,0.0049
-7,3,0.0068000000000000005
-7,4,0.0054
-7,5,0.007599999999999999
-7,6,0.0053
-7,7,0.0065
-6,-8,0.0009000000000000001
-6,-7,0.0007000000000000001
-6,-6,0.001
-6,-5,0.0009000000000000001
-6,-4,0.0007999999999999999
-6,-3,0.0007
-6,-2,0.001
-6,-1,0.0009000000000000001
-6,0,0.0007000000000000001
-6,1,0.00039999999999999996
-6,2,0.0016999999999999997
-6,3,0.0012000000000000001
-6,4,0.0011
-6,5,0.0015999999999999999
-6,6,0.0011
-6,7,0.001
-5,-8,0.0004
-5,-7,0.00030000000000000003
-5,-6,0.0006000000000000001
-5,-5,0.0
-5,-4,0.0008
-5,-3,0.0009
-5,-2,0.0007
-5,-1,0.0005
-5,0,0.0008
-5,1,0.001
-5,2,0.0004
-5,3,0.0008
-5,4,0.0013000000000000002
-5,5,0.0006000000000000001
-5,6,0.0004
-5,7,0.0006000000000000001
-4,-8,0.0121
-4,-7,0.0119
-4,-6,0.0121
-4,-5,0.0142
-4,-4,0.0144
-4,-3,0.013500000000000002
-4,-2,0.0138
-4,-1,0.0146
-4,0,0.0145
-4,1,0.0162
-4,2,0.0158
-4,3,0.0172
-4,4,0.014700000000000001
-4,5,0.016
-4,6,0.0151
-4,7,0.016
-3,-8,0.008300000000000002
-3,-7,0.0087
-3,-6,0.0081
-3,-5,0.009899999999999999
-3,-4,0.0092
-3,-3,0.011
-3,-2,0.0104
-3,-1,0.0111
-3,0,0.0116
-3,1,0.0091
-3,2,0.0109
-3,3,0.0127
-3,4,0.0111
-3,5,0.0098
-3,6,0.012199999999999999
-3,7,0.0127
-2,-8,0.0015999999999999999
-2,-7,0.0015000000000000002
-2,-6,0.0015
-2,-5,0.002
-2,-4,0.0024
-2,-3,0.0013
-2,-2,0.0021000000000000003
-2,-1,0.0019
-2,0,0.0017000000000000001
-2,1,0.0021
-2,2,0.002
-2,3,0.0015999999999999999
-2,4,0.0026000000000000003
-2,5,0.0015
-2,6,0.0015999999999999999
-2,7,0.0022
-1,-8,0.0013000000000000002
-1,-7,0.0018000000000000002
-1,-6,0.0011
-1,-5,0.0016
-1,-4,0.0008
-1,-3,0.0018
-1,-2,0.0008
-1,-1,0.0015
-1,0,0.0011
-1,1,0.0011
-1,2,0.0013
-1,3,0.0009000000000000001
-1,4,0.0015999999999999999
-1,5,0.0018
-1,6,0.0017000000000000001
-1,7,0.0012
0,-8,0.0028
0,-7,0.0031
0,-6,0.0025
0,-5,0.0033000000000000004
0,-4,0.004
0,-3,0.0024
0,-2,0.0045000000000000005
0,-1,0.004300000000000001
0,0,0.0036
0,1,0.0034000000000000002
0,2,0.0033
0,3,0.0032
0,4,0.0033
0,5,0.0040999999999999995
0,6,0.0044
0,7,0.0044
1,-8,0.002
1,-7,0.0015
1,-6,0.0019999999999999996
1,-5,0.0016
1,-4,0.0022
1,-3,0.0021
1,-2,0.0026
1,-1,0.0031999999999999997
1,0,0.0029000000000000002
1,1,0.0033
1,2,0.0024000000000000002
1,3,0.0032
1,4,0.0027999999999999995
1,5,0.0021
1,6,0.0021999999999999997
1,7,0.0028
2,-8,0.0
2,-7,0.0007
2,-6,0.0003
2,-5,0.0003
2,-4,0.0005
2,-3,0.0005
2,-2,0.0004
2,-1,0.0003
2,0,0.0002
2,1,0.00030000000000000003
2,2,0.0005
2,3,0.0011
2,4,0.00030000000000000003
2,5,0.0002
2,6,0.00030000000000000003
2,7,0.0007000000000000001
3,-8,0.0001
3,-7,0.0001
3,-6,0.0002
3,-5,0.0004
3,-4,0.0001
3,-3,0.0002
3,-2,0.0002
3,-1,0.0005
3,0,0.0004
3,1,0.0002
3,2,0.00030000000000000003
3,3,0.0001
3,4,0.0004
3,5,0.0004
3,6,0.0004
3,7,0.0004
4,-8,0.004200000000000001
4,-7,0.006
4,-6,0.0059
4,-5,0.005200000000000001
4,-4,0.0049
4,-3,0.0059
4,-2,0.0058000000000000005
4,-1,0.0070999999999999995
4,0,0.0046
4,1,0.0077
4,2,0.006900000000000001
4,3,0.0070999999999999995
4,4,0.0062
4,5,0.0063999999999999994
4,6,0.007000000000000001
4,7,0.007299999999999999
5,-8,0.0032
5,-7,0.0036
5,-6,0.004200000000000001
5,-5,0.0044
5,-4,0.0046
5,-3,0.0043
5,-2,0.0039
5,-1,0.0045000000000000005
5,0,0.0048
5,1,0.0059
5,2,0.0048000000000000004
5,3,0.0049
5,4,0.0052
5,5,0.0054
5,6,0.0047
5,7,0.0059
6,-8,0.0005
6,-7,0.0006000000000000001
6,-6,0.0011
6,-5,0.0009
6,-4,0.0007000000000000001
6,-3,0.0005
6,-2,0.001
6,-1,0.0008
6,0,0.0008
6,1,0.0009
6,2,0.0009
6,3,0.0013000000000000002
6,4,0.0009000000000000001
6,5,0.0008
6,6,0.0012000000000000001
6,7,0.0011
7,-8,0.0006000000000000001
7,-7,0.0007000000000000001
7,-6,0.0007000000000000001
7,-5,0.00039999999999999996
7,-4,0.0007000000000000001
7,-3,0.00030000000000000003
7,-2,0.00030000000000000003
7,-1,0.0009000000000000001
7,0,0.0005
7,1,0.0001
7,2,0.0007000000000000001
7,3,0.00039999999999999996
7,4,0.0007
7,5,0.00030000000000000003
7,6,0.0005
7,7,0.00039999999999999996
